Timestamp(s),FaceIndex,x,y,w,h,PredictedAge,Sentiment
6.177443372273568,0,801,288,276,382,13-15,positive
16.17744337227357,0,1154,388,232,291,10-12,positive
26.17744337227357,0,736,415,237,299,03,positive
36.17744337227357,0,1378,288,272,348,08-09,positive
56.17744337227357,0,673,624,44,53,71-80,neutral
66.17744337227357,0,769,341,260,358,46-50,neutral
86.17744337227357,0,1743,759,139,193,21-25,neutral
86.17744337227357,1,2078,655,155,170,05,positive
86.17744337227357,2,1442,701,67,84,16-20,negative
86.17744337227357,3,1602,673,63,78,16-20,negative
86.17744337227357,4,1306,687,53,65,21-25,neutral
86.17744337227357,5,1141,733,46,59,16-20,negative
86.17744337227357,6,1246,690,24,29,16-20,negative
96.17744337227357,0,960,497,158,185,10-12,positive
96.17744337227357,1,1877,588,136,186,16-20,negative
96.17744337227357,2,387,605,129,166,16-20,negative
96.17744337227357,3,570,605,112,135,21-25,neutral
96.17744337227357,4,714,640,85,111,10-12,positive
106.17744337227357,0,974,310,268,352,08-09,positive
116.17744337227357,0,980,321,265,339,10-12,positive
126.17744337227357,0,1326,413,320,402,08-09,positive
136.17744337227356,0,1331,426,304,388,08-09,positive
146.17744337227356,0,1268,414,298,365,08-09,positive
